,完成部番,単位数分子1,単位数分母1,前工程1,単位数分子2,単位数分母2,前工程2,単位数分子3,単位数分母3,前工程3,単位数分子4,単位数分母4,前工程4,単位数分子5,単位数分母5,前工程5,単位数分子6,単位数分母6,前工程6,単位数分子7,単位数分母7,前工程7,単位数分子8,単位数分母8,前工程8,単位数分子9,単位数分母9,前工程9,単位数分子10,単位数分母10,前工程10,作成者,作成日,更新者,更新日,理由,更新日,理由,,
C,00-1041G32,1,1,S135070,377,1000,SKS3050013,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1049B34,1,1,G3Z4576,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1049C34,1,1,G3Z4576,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1049D34,1,1,G3Z4576,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1054A26,1,1,SKD5E3060,85,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1054A30,1,1,SKD5E3060,85,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1054B26,1,1,SKD5E3060,85,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1054B30,1,1,SKD5E3060,85,1000,SKD11030055,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1090AA20,1,1,S6H4722,75,1000,SUJ3047068-H,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1090AA34,1,1,S5F3035,50,1000,SUJ3030056,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1090AA38,1,1,S6H3822,55,1000,SUJ3038068,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1090AB30,1,1,S6H3222,50,1000,SUJ3032068,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1090AB34,1,1,S6H3822,55,1000,SUJ3038068,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
C,00-1090CA30,1,1,S132565,255,1000,SKS3050013,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,システム,20150904,,,,,,,
